timestamp,open,high,low,close,volume
2026-02-20 15:30:00,1956.57,1958.43,1943.21,1950.52,7674.0155
2026-02-20 15:45:00,1950.51,1967.1,1948.31,1963.95,6343.7545
2026-02-20 16:00:00,1963.96,1969.87,1960.5,1963.52,9100.7325
2026-02-20 16:15:00,1963.52,1973.5,1956.65,1956.77,7967.6137
2026-02-20 16:30:00,1956.78,1959.76,1953.86,1957.67,5116.8231
2026-02-20 16:45:00,1957.66,1972.0,1957.39,1968.62,9022.0716
2026-02-20 17:00:00,1968.62,1968.62,1947.55,1947.56,6047.2271
2026-02-20 17:15:00,1947.55,1949.58,1939.21,1944.38,6136.1593
2026-02-20 17:30:00,1944.39,1961.04,1943.36,1958.23,5007.3392
2026-02-20 17:45:00,1958.23,1970.94,1955.22,1966.57,10901.9478
2026-02-20 18:00:00,1966.56,1970.45,1962.92,1964.77,5768.478
2026-02-20 18:15:00,1964.77,1969.24,1960.02,1968.74,3359.8298
2026-02-20 18:30:00,1968.73,1981.18,1959.89,1972.11,11880.1363
2026-02-20 18:45:00,1972.11,1978.9,1968.77,1975.56,5065.7077
2026-02-20 19:00:00,1975.55,1978.15,1965.11,1966.56,4026.022
2026-02-20 19:15:00,1966.55,1969.09,1962.42,1964.37,1917.9287
2026-02-20 19:30:00,1964.37,1971.7,1962.36,1963.36,1822.5675
2026-02-20 19:45:00,1963.37,1965.64,1961.67,1963.69,1814.6283
2026-02-20 20:00:00,1963.69,1970.23,1963.08,1970.0,1355.6092
2026-02-20 20:15:00,1970.0,1970.0,1962.62,1963.57,930.3239
2026-02-20 20:30:00,1963.57,1969.0,1961.6,1968.7,942.8283
2026-02-20 20:45:00,1968.7,1971.36,1966.24,1971.05,2297.1438
2026-02-20 21:00:00,1971.04,1974.38,1967.19,1972.65,2508.5919
2026-02-20 21:15:00,1972.65,1972.65,1968.88,1970.94,1108.3956
2026-02-20 21:30:00,1970.93,1974.68,1969.7,1973.26,935.221
2026-02-20 21:45:00,1973.25,1975.27,1971.99,1974.38,717.8258
2026-02-20 22:00:00,1974.37,1974.37,1964.4,1965.41,2320.218
2026-02-20 22:15:00,1965.42,1971.88,1964.69,1970.39,1731.3479
2026-02-20 22:30:00,1970.38,1972.7,1967.67,1968.48,2602.0716
2026-02-20 22:45:00,1968.49,1973.11,1967.35,1971.4,932.4029
2026-02-20 23:00:00,1971.39,1973.27,1968.09,1968.32,1759.7922
2026-02-20 23:15:00,1968.31,1970.0,1967.29,1967.41,662.6196
2026-02-20 23:30:00,1967.41,1969.0,1963.54,1966.02,3770.8325
2026-02-20 23:45:00,1966.01,1970.21,1966.01,1968.88,1380.9471
2026-02-21 00:00:00,1968.88,1969.47,1965.43,1967.83,896.7401
2026-02-21 00:15:00,1967.83,1968.27,1965.12,1966.01,1178.6448
2026-02-21 00:30:00,1966.0,1966.66,1962.19,1963.51,933.1837
2026-02-21 00:45:00,1963.51,1964.81,1961.47,1963.22,681.3487
2026-02-21 01:00:00,1963.23,1966.4,1963.0,1965.95,1197.4859
2026-02-21 01:15:00,1965.94,1966.71,1963.41,1964.13,1902.9839
2026-02-21 01:30:00,1964.13,1969.09,1963.85,1967.76,831.8083
2026-02-21 01:45:00,1967.75,1968.38,1965.63,1966.24,761.4245
2026-02-21 02:00:00,1966.25,1969.09,1964.83,1967.86,539.9788
2026-02-21 02:15:00,1967.85,1970.12,1966.7,1969.41,725.5829
2026-02-21 02:30:00,1969.42,1970.7,1967.06,1968.38,791.4658
2026-02-21 02:45:00,1968.38,1968.38,1965.33,1965.69,572.8282
2026-02-21 03:00:00,1965.69,1966.0,1959.63,1960.84,2276.8065
2026-02-21 03:15:00,1960.83,1963.05,1960.08,1962.36,597.0713
2026-02-21 03:30:00,1962.37,1963.21,1955.62,1957.85,1805.7893
2026-02-21 03:45:00,1957.85,1959.23,1957.08,1959.03,888.0546
2026-02-21 04:00:00,1959.03,1960.51,1957.54,1958.54,1315.7885
2026-02-21 04:15:00,1958.54,1960.61,1956.21,1959.79,973.3043
2026-02-21 04:30:00,1959.79,1962.49,1958.87,1960.2,731.7825
2026-02-21 04:45:00,1960.19,1963.29,1959.25,1962.4,1099.8253
2026-02-21 05:00:00,1962.4,1963.32,1961.2,1961.21,601.3451
2026-02-21 05:15:00,1961.2,1963.64,1961.2,1963.64,1888.3881
2026-02-21 05:30:00,1963.64,1964.43,1962.4,1963.69,500.3946
2026-02-21 05:45:00,1963.7,1963.93,1961.55,1962.86,525.2328
2026-02-21 06:00:00,1962.86,1966.09,1961.61,1965.61,2311.6702
2026-02-21 06:15:00,1965.61,1966.0,1963.3,1963.38,578.7168
2026-02-21 06:30:00,1963.39,1963.39,1960.81,1962.14,692.7009
2026-02-21 06:45:00,1962.14,1962.51,1960.52,1961.5,455.6553
2026-02-21 07:00:00,1961.5,1964.84,1960.0,1963.5,809.0422
2026-02-21 07:15:00,1963.51,1964.41,1962.78,1963.34,502.8875
2026-02-21 07:30:00,1963.35,1964.04,1961.26,1961.77,589.9617
2026-02-21 07:45:00,1961.75,1963.05,1961.33,1962.71,744.8874
2026-02-21 08:00:00,1962.7,1965.34,1962.0,1964.59,2268.2917
2026-02-21 08:15:00,1964.59,1965.65,1964.07,1964.54,1314.9555
2026-02-21 08:30:00,1964.55,1966.53,1963.69,1966.03,1374.2554
2026-02-21 08:45:00,1966.04,1971.18,1965.36,1969.0,2122.9793
2026-02-21 09:00:00,1969.01,1970.37,1967.2,1967.67,969.8637
2026-02-21 09:15:00,1967.66,1977.66,1967.66,1975.84,5473.8063
2026-02-21 09:30:00,1975.84,1977.32,1970.02,1972.99,4526.3694
2026-02-21 09:45:00,1972.99,1973.68,1970.28,1970.28,1085.0924
2026-02-21 10:00:00,1970.28,1973.37,1969.09,1971.97,2207.997
2026-02-21 10:15:00,1971.97,1973.85,1970.78,1973.34,1539.7274
2026-02-21 10:30:00,1973.33,1974.88,1972.98,1974.88,1607.2797
2026-02-21 10:45:00,1974.88,1974.88,1972.65,1974.17,653.2353
2026-02-21 11:00:00,1974.17,1981.42,1973.85,1978.99,6942.9531
2026-02-21 11:15:00,1978.99,1988.6,1978.31,1983.44,5686.7955
2026-02-21 11:30:00,1983.44,1984.77,1977.57,1977.75,2154.311
2026-02-21 11:45:00,1977.76,1980.48,1976.34,1977.02,883.8329
2026-02-21 12:00:00,1977.02,1978.17,1974.18,1974.57,1569.1982
2026-02-21 12:15:00,1974.57,1975.74,1969.49,1970.93,2417.173
2026-02-21 12:30:00,1970.93,1973.39,1969.76,1972.51,1113.1525
2026-02-21 12:45:00,1972.52,1976.08,1970.44,1975.99,1900.0396
2026-02-21 13:00:00,1975.99,1976.07,1973.28,1974.26,1062.8882
2026-02-21 13:15:00,1974.26,1978.37,1972.63,1977.51,1089.0224
2026-02-21 13:30:00,1977.5,1978.11,1975.49,1977.66,826.2882
2026-02-21 13:45:00,1977.65,1981.4,1977.65,1981.18,3339.2247
2026-02-21 14:00:00,1981.18,1984.98,1978.09,1981.28,4661.1189
2026-02-21 14:15:00,1981.29,1995.56,1979.67,1988.26,9917.7589
2026-02-21 14:30:00,1988.27,1992.34,1987.38,1989.42,4414.968
2026-02-21 14:45:00,1989.42,1993.32,1986.43,1987.52,5410.5751
2026-02-21 15:00:00,1987.51,1991.81,1986.15,1988.89,3996.6059
2026-02-21 15:15:00,1988.88,1991.7,1985.84,1985.98,2114.7605
2026-02-21 15:30:00,1985.98,1993.0,1984.25,1990.42,2790.6237
2026-02-21 15:45:00,1990.43,1991.38,1988.13,1988.13,2199.6352
2026-02-21 16:00:00,1988.13,1988.98,1978.08,1981.69,7016.4984
2026-02-21 16:15:00,1981.69,1984.0,1976.41,1983.99,2788.4269
2026-02-21 16:30:00,1984.0,1989.58,1980.86,1988.93,2398.2026
2026-02-21 16:45:00,1988.93,1989.64,1985.5,1986.33,1257.0056
2026-02-21 17:00:00,1986.34,1988.34,1984.49,1987.45,1186.0963
2026-02-21 17:15:00,1987.45,1987.86,1984.26,1986.11,1610.3032
2026-02-21 17:30:00,1986.11,1992.1,1985.23,1989.53,2330.413
2026-02-21 17:45:00,1989.52,1991.22,1988.22,1988.95,1713.2437
2026-02-21 18:00:00,1988.95,1990.49,1987.77,1987.78,1200.7433
2026-02-21 18:15:00,1987.78,1991.16,1987.78,1990.14,1410.1566
2026-02-21 18:30:00,1990.14,1994.7,1990.14,1992.38,2554.4006
2026-02-21 18:45:00,1992.38,1995.31,1991.21,1991.97,2820.8028
2026-02-21 19:00:00,1991.97,1994.77,1990.01,1992.54,1973.1737
2026-02-21 19:15:00,1992.53,1992.95,1990.99,1991.5,1427.0107
2026-02-21 19:30:00,1991.5,1991.69,1990.15,1990.7,895.5929
2026-02-21 19:45:00,1990.69,1990.69,1987.86,1988.35,757.6887
2026-02-21 20:00:00,1988.34,1989.07,1987.0,1987.21,675.1307
2026-02-21 20:15:00,1987.2,1990.41,1987.13,1989.49,1122.8944
2026-02-21 20:30:00,1989.47,1990.16,1983.04,1983.83,1933.9272
2026-02-21 20:45:00,1983.83,1984.35,1973.53,1974.14,5773.8029
2026-02-21 21:00:00,1974.14,1978.12,1970.0,1977.19,2924.1735
2026-02-21 21:15:00,1977.19,1980.0,1976.91,1978.8,1269.0631
2026-02-21 21:30:00,1978.79,1981.47,1977.24,1978.86,1055.2555
2026-02-21 21:45:00,1978.86,1982.79,1978.76,1982.04,984.9699
2026-02-21 22:00:00,1982.04,1982.47,1977.1,1978.14,1083.8101
2026-02-21 22:15:00,1978.14,1980.41,1975.12,1976.4,693.4008
2026-02-21 22:30:00,1976.4,1977.17,1972.02,1974.61,2639.7209
2026-02-21 22:45:00,1974.61,1978.57,1972.72,1974.4,1692.7049
2026-02-21 23:00:00,1974.39,1975.68,1971.08,1972.25,1366.7046
2026-02-21 23:15:00,1972.26,1977.78,1972.26,1976.81,713.5735
2026-02-21 23:30:00,1976.82,1976.89,1975.65,1975.65,435.8535
2026-02-21 23:45:00,1975.64,1975.64,1973.32,1973.35,931.542
2026-02-22 00:00:00,1973.35,1975.6,1972.18,1973.74,1214.2374
2026-02-22 00:15:00,1973.73,1975.07,1967.75,1970.31,2856.0342
2026-02-22 00:30:00,1970.32,1971.11,1968.86,1968.87,1057.285
2026-02-22 00:45:00,1968.88,1972.91,1968.88,1972.87,880.7449
2026-02-22 01:00:00,1972.87,1976.47,1972.64,1973.85,1175.0082
2026-02-22 01:15:00,1973.86,1978.18,1972.61,1977.85,1523.7852
2026-02-22 01:30:00,1977.86,1979.51,1976.68,1978.41,1547.9459
2026-02-22 01:45:00,1978.4,1979.87,1976.23,1977.37,836.398
2026-02-22 02:00:00,1977.38,1982.99,1975.74,1980.99,1886.1465
2026-02-22 02:15:00,1980.99,1980.99,1975.2,1975.2,810.7072
2026-02-22 02:30:00,1975.2,1976.26,1973.23,1973.85,1167.2048
2026-02-22 02:45:00,1973.86,1975.35,1972.21,1972.23,996.7373
2026-02-22 03:00:00,1972.23,1976.26,1972.11,1974.95,924.6746
2026-02-22 03:15:00,1974.96,1975.44,1967.4,1970.85,1770.4991
2026-02-22 03:30:00,1970.85,1973.71,1970.2,1972.51,1045.0259
2026-02-22 03:45:00,1972.51,1975.27,1971.42,1974.71,1215.6989
2026-02-22 04:00:00,1974.71,1976.16,1974.29,1974.6,875.6665
2026-02-22 04:15:00,1974.59,1975.57,1971.25,1972.34,1570.9151
2026-02-22 04:30:00,1972.34,1974.99,1970.2,1971.8,1154.4544
2026-02-22 04:45:00,1971.8,1974.49,1971.79,1973.62,590.8732
2026-02-22 05:00:00,1973.63,1974.68,1971.06,1972.13,827.0449
2026-02-22 05:15:00,1972.13,1974.8,1971.91,1973.82,516.9751
2026-02-22 05:30:00,1973.82,1974.12,1972.56,1973.28,395.48
2026-02-22 05:45:00,1973.28,1975.11,1971.57,1974.97,1936.3565
2026-02-22 06:00:00,1974.97,1976.74,1974.29,1975.93,965.6372
2026-02-22 06:15:00,1975.93,1978.18,1974.87,1977.22,1328.2831
2026-02-22 06:30:00,1977.21,1979.54,1975.97,1976.09,1564.1312
2026-02-22 06:45:00,1976.1,1977.06,1975.04,1976.05,464.9257
2026-02-22 07:00:00,1976.06,1977.32,1975.06,1977.32,887.2575
2026-02-22 07:15:00,1977.32,1977.68,1974.58,1976.42,1603.4805
2026-02-22 07:30:00,1976.41,1978.78,1975.88,1977.65,968.7783
2026-02-22 07:45:00,1977.66,1977.94,1975.86,1975.88,561.1421
2026-02-22 08:00:00,1975.87,1977.0,1974.66,1976.68,537.9441
2026-02-22 08:15:00,1976.69,1977.05,1971.82,1973.29,1193.5841
